SpecFile	Scan	Compound	Origin	Score	CompoundMass	SpectrumMZ	RetentionTime	Adduct
MSV000079450/ccms_peak/mzXML/P1-E-07_P1-E-7_01_3267.mzXML	558	massetolide_F	pseudomonas	188.34	1125.69	1126.72	198.034	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	631	massetolide_F	pseudomonas	121.312	1125.69	1126.68	222.646	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	646	massetolide_F	pseudomonas	170.366	1125.69	1126.68	227.706	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	657	massetolide_F	pseudomonas	179.205	1125.69	1126.69	231.412	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	668	massetolide_F	pseudomonas	181.582	1125.69	1126.68	235.118	M+H
MSV000079450/ccms_peak/mzXML/P2-B-02_P1-B-2_01_3339.mzXML	548	massetolide_F	pseudomonas	179.564	1125.69	1126.7	194.688	M+H
MSV000079450/ccms_peak/mzXML/P2-B-02_P1-B-2_01_3339.mzXML	581	massetolide_F	pseudomonas	180.379	1125.69	1126.7	205.807	M+H
MSV000079450/ccms_peak/mzXML/P2-B-02_P1-B-2_01_3339.mzXML	603	massetolide_F	pseudomonas	172.077	1125.69	1126.7	213.219	M+H
MSV000079450/ccms_peak/mzXML/P2-G-11_P1-G-11_01_3423.mzXML	548	massetolide_F	pseudomonas	182.598	1125.69	1126.68	194.652	M+H
MSV000079450/ccms_peak/mzXML/P2-G-11_P1-G-11_01_3423.mzXML	570	massetolide_F	pseudomonas	185.262	1125.69	1126.68	202.065	M+H
MSV000079450/ccms_peak/mzXML/P2-H-12_P1-H-12_01_3439.mzXML	603	massetolide_F	pseudomonas	190.049	1125.69	1126.68	213.211	M+H
MSV000079450/ccms_peak/mzXML/P3-D-03_P1-D-3_01_3490.mzXML	625	massetolide_F	pseudomonas	144.615	1125.69	1126.69	220.629	M+H
MSV000079450/ccms_peak/mzXML/P3-D-04_P1-D-4_01_3491.mzXML	494	massetolide_F	pseudomonas	121.255	1125.69	1126.7	176.47	M+H
MSV000079450/ccms_peak/mzXML/P3-D-04_P1-D-4_01_3491.mzXML	515	massetolide_F	pseudomonas	134.158	1125.69	1126.7	183.546	M+H
